binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,semi_constant_1,constant_2,multicollinearity 2,random choice 7,duplicate_2,corr_feature_class,pd qcut3,uniform corr 2,random label num 4,min max scaling,pd qcut1,outliers 1,standard scaling,random label num 14,multicollinearity 1,constant_1,duplicate_1,random choice 4,target,correlated w target 2,semi_constant_2,pd qcut2,outliers 2,multicollinearity 3,informative_1,multicollinearity 4,uniform corr 1,random choice 2,informative_2,correlated w target 1,class
binary_2,David,Reyes,1966-10-06,,,,Lake John,,64516,q_const_0,constant_value,-0.37903953295146886,Monday,-0.6638599972813359,,G4,0.5688794709780323,label num lo 3,251.22756210759985,Low,-0.4429945539860424,33715.315724246015,label num hi 12,-0.6809559080173884,constant_value,-0.9991017824896424,North,-0.9042236742875387,0.4190068204731463,q_const_0,Q2,5.750645983416601,,-0.9991017824896424,0.6534700142208016,0.1883746372684309,Rand Choice 1,-0.6638599972813359,-0.9364534361601269,1
binary_2,Jason,Weeks,1982-02-03,,jason74@example.com,,Johnstad,,24960,q_const_0,constant_value,-0.509656558180514,Saturday,1.153596854135379,4.2619556811068895,G5,0.8287892846924775,label num lo 2,276.06385641946287,High,1.2209469468822094,52446.68864507163,label num hi 12,-0.41580441471282276,constant_value,1.2466861830450993,,2.324369783092482,-3.1563583382363536,q_const_0,Q3,5.358224017638684,,1.2466861830450993,0.3786693369324619,,Rand Choice 2,1.153596854135379,2.4754694495539233,1
binary_1,Kayla,Howell,1925-05-27,572-803-9740,matthewwalker@example.net,867 Annette Freeway Apt. 253,East Ian,AK,85668,q_const_0,constant_value,0.3036666223116046,Sunday,0.8593974662590766,1.2719834599320612,G5,0.25525839063317896,label num lo 3,,High,1.291482956674666,46620.20691320901,label num hi 8,-0.0703109861847814,constant_value,0.9627768269601935,East,1.7782165547025084,0.6267212616893395,q_const_0,Q3,1.1544780081498487,-1.304940617540254,0.9627768269601935,,0.16295900312063932,Rand Choice 2,0.8593974662590766,-1.1971150851765078,1
binary_2,Thomas,,,,,2932 Danielle Brook,New Melissastad,MO,41227,q_const_0,constant_value,0.2842067850879355,Monday,2.0336452879154674,-0.45112905978926143,G6,0.9520188250915129,label num lo 2,399.43147095310457,High,,50498.57794602475,label num hi 11,,constant_value,-2.9574409509433037,South,5.451234575139656,4.049816983204377,q_const_0,Q4,4.18260134999141,0.6855836920520991,-2.9574409509433037,0.029097476609899527,0.9408380092105638,Rand Choice 1,2.0336452879154674,1.2282834367052364,1
binary_2,Sergio,Mcintosh,,722-896-1983x02162,olsonheather@example.com,,Browningtown,NJ,64898,q_const_0,constant_value,,Wednesday,1.05944863351561,3.9850314538583147,G5,0.8481540633510289,label num lo 3,434.3530318117297,High,-3.315717407982172,,label num hi 3,,constant_value,1.1411652716579705,North,2.1539258469951807,1.5694863764660394,q_const_0,Q3,0.33024916539241644,,1.1411652716579705,-0.43814134741822874,,,1.05944863351561,1.2819892220152393,1
binary_1,Beth,Hernandez,1940-07-11,981-931-8592,,1753 Anderson Rue Apt. 266,South Mark,SD,94212,q_const_0,constant_value,-1.4330353270732616,Thursday,2.399635889224372,1.2012939227903419,,0.7578759743772525,label num lo 3,346.818482920493,High,0.6187012291116718,,label num hi 13,,constant_value,2.485477863898728,North,4.626787069235546,2.1545123672311446,q_const_0,Q4,4.841804224531762,0.7932784492589715,2.485477863898728,-0.1446800668409936,0.7478243740838739,Rand Choice 1,2.399635889224372,1.671569388181183,1
binary_2,Kevin,,1996-11-30,+1-395-410-5941x2782,pughrachel@example.com,,West Jonside,,55267,q_const_0,constant_value,0.3578548558835588,Friday,-0.747560845179044,4.169192463308084,,0.19490852099920686,label num lo 4,,Low,0.9656251189997174,39734.89844068442,label num hi 5,,constant_value,-0.6479636736717482,East,-1.187224231921867,-3.710293449719471,q_const_0,Q2,0.1765037908571263,,-0.6479636736717482,-1.1810017691302837,0.3978607270895877,Rand Choice 2,-0.747560845179044,-7.419826307320541,0
binary_1,Angela,Kim,,,matthewcharles@example.net,81634 Ross Extension,Andersonhaven,AS,76925,q_const_0,constant_value,1.5943019423445335,Saturday,-0.8182224427035356,3.490959349437102,G3,0.04622381861438043,label num lo 1,294.31584447918624,Low,0.424196934050058,,label num hi 6,1.0731201862042106,constant_value,-0.8922328125534437,West,-1.266374292198878,-0.26447576740936063,q_const_0,Q2,3.372427205707335,3.0490838965374145,-0.8922328125534437,2.4889423010621172,0.7313027579801266,Rand Choice 2,-0.8182224427035356,1.98985896281562,0
binary_1,,Lee,,655.492.4138x0271,,91772 Ramos Walk,North Louis,,56656,q_const_0,constant_value,-1.8454583133712952,Thursday,-0.09154666780661158,,G4,0.3191817160260068,label num lo 4,519.055355288278,High,-0.7579474419947247,,label num hi 8,,constant_value,-0.7273359834485558,South,0.24111056261580832,1.3436184290102435,q_const_0,Q3,3.922123124255929,0.2807186033453622,-0.7273359834485558,-0.12149705867878625,0.7822234580090873,Rand Choice 2,-0.09154666780661158,-2.1233627928898193,0
binary_1,Jennifer,Allen,1948-04-22,,olee@example.org,,,,,q_const_0,constant_value,0.6237693547560729,Friday,-1.8069333466532713,3.086650992478813,G1,0.22401762585216517,label num lo 4,,,4.133060394770733,,label num hi 4,0.8368785335465024,constant_value,0.9753643211025785,North,-3.935564389564147,-3.310596919323143,q_const_0,Q1,5.124809988300919,,0.9753643211025785,-0.0442743532027642,,,-1.8069333466532713,-0.35733694015418216,0
